,cell.ID,nucleus.x,nucleus.y,CD15.score.normalized,CK.score.normalized,CD3.score.normalized,CD11c.score.normalized,CD20.score.normalized,CD163.score.normalized,tissue.type,in.ROI.adipose_tissue,in.ROI.necrosis,in.ROI.tumor_tissue
0,42,9792.41,45213.56,0.0,0.0,0.77,0.08,0.12,0.0,stroma,False,False,False
1,43,9873.35,45141.2,0.22,0.0,0.13,0.12,0.03,3.1,stroma,False,False,False
2,44,9948.26,45213.7,0.17,0.59,0.04,0.35,0.01,1.35,stroma,False,False,False
3,45,9862.89,45139.38,0.0,0.16,0.41,0.12,0.09,0.0,stroma,False,False,False
4,46,9726.31,45229.46,0.07,0.94,0.16,0.11,0.05,0.14,stroma,False,False,False
5,49,9848.22,45146.32,0.0,0.87,0.52,0.04,0.03,0.33,stroma,False,False,False
6,51,9714.83,45231.55,0.28,0.39,0.32,0.12,0.07,0.63,stroma,False,False,False
7,52,9962.49,45233.35,0.0,0.83,0.18,0.74,0.16,0.3,stroma,False,False,False
8,53,9873.67,45145.3,0.0,1.65,0.33,0.0,0.07,0.19,stroma,False,False,False
9,54,9936.82,44881.01,0.29,0.29,0.49,0.34,0.03,0.0,stroma,False,False,False
10,56,9844.89,45160.14,0.02,0.1,0.13,0.0,0.11,0.06,stroma,False,False,False
11,57,9933.85,44887.93,0.0,0.0,0.33,0.0,0.05,0.04,stroma,False,False,False
12,60,9799.99,45199.15,0.01,0.0,0.44,0.0,0.01,0.01,stroma,False,False,False
13,62,9506.68,45240.55,0.06,1.24,0.18,0.0,0.11,0.31,stroma,False,False,False
14,63,9822.67,45224.75,0.03,0.36,0.07,0.0,0.08,0.49,stroma,False,False,False
15,64,9791.57,45209.07,0.0,0.37,0.72,0.04,0.03,0.0,stroma,False,False,False
16,65,9969.33,44850.61,0.0,0.69,0.2,0.0,0.07,0.38,stroma,False,False,False
17,66,9797.44,45225.77,0.49,1.31,0.52,0.0,0.11,0.0,stroma,False,False,False
18,67,9840.85,45228.59,0.36,0.6,0.25,0.03,0.05,0.0,stroma,False,False,False
19,68,9936.72,45210.68,0.28,0.98,0.0,0.08,0.06,4.25,stroma,False,False,False
20,69,9813.95,45236.61,0.0,0.48,0.45,0.31,0.02,0.35,stroma,False,False,True
21,70,9813.74,45211.1,0.03,0.0,0.31,0.23,0.02,0.0,stroma,False,False,False
22,71,9787.87,45210.95,0.0,0.93,0.37,0.03,0.1,0.04,stroma,False,False,False
23,72,9867.07,45241.46,0.0,0.63,0.0,0.15,0.04,0.74,stroma,False,False,False
24,73,9852.69,45138.89,0.0,0.0,0.43,0.0,0.05,0.34,stroma,False,False,False
25,75,9892.65,45233.86,0.2,0.22,0.11,0.39,0.1,0.44,stroma,False,False,False
