,cell.ID,nucleus.x,nucleus.y,PD1.score.normalized,CK.score.normalized,Ki67.score.normalized,GB.score.normalized,CD8.score.normalized,PDL1.score.normalized,tissue.type,in.ROI.next_to_tumor_tissue,in.ROI.tumor_tissue
0,8,11377.12,40087.44,0.0,0.02,0.0,0.09,0.0,0.0,stroma,False,False
1,29,11280.96,40175.97,0.12,0.0,0.28,0.01,0.13,0.15,stroma,False,False
2,31,11218.78,40198.94,0.3,0.88,0.26,0.15,0.0,0.25,stroma,False,False
3,32,11220.57,40245.18,0.05,0.09,0.05,0.04,0.02,0.0,stroma,False,False
4,33,11383.04,40179.29,0.0,0.06,0.48,0.05,0.34,0.17,stroma,False,False
5,37,11297.65,40140.54,0.14,0.08,0.21,0.12,0.0,0.33,stroma,False,False
6,39,11132.43,40303.67,0.0,0.19,0.16,0.04,0.43,0.02,stroma,False,False
7,40,11368.99,40084.89,0.45,0.23,0.08,0.02,0.47,0.21,stroma,False,False
8,41,11161.59,40311.64,0.22,0.06,0.0,0.0,0.82,0.11,stroma,False,False
9,43,11298.97,40299.63,0.0,0.06,0.0,0.08,0.57,0.2,stroma,False,False
10,44,11134.28,40276.78,0.06,0.05,0.11,0.0,0.48,0.0,stroma,False,False
11,45,11381.21,40111.77,0.19,0.04,0.14,0.12,0.3,0.56,stroma,False,False
12,46,11271.09,40322.75,0.34,0.11,0.06,0.07,0.46,0.3,stroma,False,False
13,47,11260.41,40191.4,0.13,0.29,0.0,0.08,0.0,0.24,stroma,False,False
14,48,11323.54,40137.76,0.15,0.02,0.3,0.0,0.0,0.0,stroma,False,False
15,49,11284.79,40211.22,0.08,0.0,0.03,0.17,0.0,0.0,stroma,False,False
16,50,11384.22,40255.67,0.05,0.07,0.0,0.06,0.66,0.54,stroma,False,False
17,51,11326.57,40174.88,0.0,0.07,0.05,0.0,0.28,0.1,stroma,False,False
18,52,11254.01,40195.08,0.3,0.08,0.0,0.05,0.0,0.49,stroma,False,False
19,54,11351.59,40137.4,0.0,0.07,0.13,0.18,0.49,0.29,stroma,False,False
20,55,11320.15,40285.17,0.0,0.04,0.14,0.11,0.0,0.12,stroma,False,False
21,56,11212.16,40189.76,0.47,0.21,0.07,0.4,0.0,0.0,stroma,False,False
22,57,11395.16,40185.17,0.12,0.06,0.0,0.1,0.73,0.0,stroma,False,False
23,58,11394.74,40480.86,0.0,0.05,0.0,0.1,0.35,0.02,stroma,False,False
24,59,11359.37,40286.63,0.03,0.0,0.1,0.0,0.0,0.0,stroma,False,False
25,60,11305.28,40146.53,0.0,0.09,0.03,0.0,0.0,0.06,stroma,False,False
26,61,11129.0,40288.15,0.16,0.18,0.19,0.11,0.61,0.27,stroma,False,False
27,65,11307.09,40161.3,0.12,0.03,0.24,0.08,0.4,0.0,stroma,False,False
28,66,11275.43,40191.9,0.21,0.02,0.0,0.09,0.0,0.0,stroma,False,False
29,67,11319.39,40116.16,0.14,0.62,0.12,0.2,0.12,0.11,stroma,False,False
30,68,11280.59,40201.21,0.21,0.06,0.24,0.0,0.72,0.0,stroma,False,False
31,70,11303.2,40301.54,0.0,0.05,0.0,0.0,0.14,0.36,stroma,False,False
32,71,11146.68,40302.71,0.32,0.06,0.1,0.06,0.0,0.0,stroma,False,False
33,72,11296.09,40291.76,0.28,0.04,0.0,0.05,0.05,0.16,stroma,False,False
34,74,11249.32,40214.98,0.23,0.04,0.0,0.0,0.47,0.0,stroma,False,False
35,76,11365.47,40277.12,0.19,0.07,0.03,0.16,0.59,0.33,stroma,False,False
36,77,11225.32,40246.61,0.2,0.0,0.3,0.13,1.16,0.18,stroma,False,False
37,78,11267.9,40331.68,0.08,0.09,0.0,0.14,0.0,0.03,stroma,False,False
38,79,11232.69,40196.72,0.0,0.0,0.0,0.06,0.0,0.12,stroma,False,False
39,80,11376.65,40467.27,0.0,0.0,0.2,0.05,0.73,0.0,stroma,False,False
40,81,11384.24,40498.87,0.06,0.04,0.0,0.06,0.71,0.0,stroma,False,False
41,82,11266.14,40205.37,0.33,0.13,0.03,0.0,0.21,0.08,stroma,False,False
42,83,11212.71,40203.3,0.3,0.55,0.12,0.62,0.0,0.53,stroma,False,False
43,84,11400.04,40226.27,0.0,0.03,0.0,0.04,1.04,0.09,stroma,False,False
44,85,11276.3,40340.19,0.0,0.05,0.08,0.17,0.95,0.29,stroma,False,False
45,86,11374.57,40133.0,0.3,0.04,0.0,0.02,0.0,0.0,stroma,False,False
46,87,11260.15,40221.28,0.0,0.01,0.2,0.09,0.07,0.0,stroma,False,False
47,88,11396.7,40223.5,0.0,0.0,0.0,0.06,0.0,0.44,stroma,False,False
48,89,11276.31,40347.01,0.36,0.11,0.08,0.08,1.59,0.0,stroma,False,False
49,90,11394.36,40498.99,0.0,0.09,0.04,0.03,0.0,0.0,stroma,False,False
50,91,11332.77,40155.87,0.0,0.02,0.0,0.1,0.79,0.15,stroma,False,False
51,92,11263.93,40314.45,0.1,0.1,0.0,0.05,0.0,0.0,stroma,False,False
