,cell.ID,nucleus.x,nucleus.y,CD4.score.normalized,CK.score.normalized,CD3.score.normalized,CD56.score.normalized,CD8.score.normalized,FOXP3.score.normalized,tissue.type,in.ROI.adipose_tissue,in.ROI.tumor_tissue
0,389,14629.11,38257.84,0.01,0.02,0.11,0.11,0.0,0.0,stroma,False,True
1,390,14823.98,38595.03,0.13,0.1,1.7,0.11,0.44,0.0,stroma,False,True
2,391,14816.41,38449.94,0.93,0.38,3.34,0.38,3.16,0.49,stroma,False,True
3,392,14968.45,38472.94,0.0,0.0,0.5,0.09,0.0,0.31,stroma,False,True
4,393,14782.18,38445.15,0.16,0.43,1.98,0.26,1.08,0.1,stroma,False,True
5,394,14434.83,38265.15,0.0,0.09,0.39,0.11,0.0,0.02,stroma,False,True
6,395,14726.39,38503.0,1.56,0.27,1.76,0.36,1.1,0.23,stroma,False,True
7,396,14665.65,38308.91,0.13,0.09,0.37,0.14,0.0,0.35,stroma,False,True
8,397,14430.67,38533.71,0.0,2.11,0.0,0.19,0.16,0.36,tumor,False,True
9,398,14837.58,38513.74,0.33,0.0,0.69,0.04,0.05,0.26,stroma,False,True
10,399,14764.69,38202.48,0.38,0.11,2.59,0.08,0.0,1.24,stroma,False,True
11,400,14634.38,38109.41,0.31,0.04,0.0,0.17,0.11,0.0,stroma,False,True
12,401,14990.04,38053.66,1.86,0.07,10.71,0.6,6.46,0.8,stroma,False,True
13,402,14709.74,38521.53,0.85,0.21,1.45,7.23,0.51,0.44,stroma,False,True
14,403,14863.57,38324.42,0.58,0.42,0.53,0.31,0.67,0.34,stroma,False,True
15,404,14628.23,38611.41,0.0,1.9,0.06,0.09,0.57,0.35,tumor,False,True
16,405,14760.49,38143.18,0.24,0.48,0.45,0.26,0.0,0.0,stroma,False,True
17,406,14976.02,38289.59,0.04,0.2,0.17,0.13,0.0,0.1,stroma,False,True
18,407,14699.73,38521.49,0.0,0.0,0.55,0.18,0.17,0.37,stroma,False,True
19,408,14679.9,38232.35,0.09,0.19,0.33,0.06,0.0,0.0,stroma,False,True
20,409,14784.07,38264.5,0.7,0.55,1.23,0.61,0.36,0.0,stroma,False,True
21,410,14563.09,38623.3,0.39,2.36,0.0,0.15,0.0,0.43,tumor,False,True
22,411,14846.77,38126.79,0.99,0.57,0.67,0.1,0.02,0.05,stroma,False,True
23,412,14712.33,38227.5,1.8,0.55,0.66,0.2,1.35,0.51,stroma,False,True
24,413,14668.23,38199.66,0.0,0.13,0.25,0.11,0.0,0.02,stroma,False,True
25,414,14988.89,38240.42,0.23,0.28,4.19,0.36,4.38,0.33,stroma,False,True
26,415,14665.91,38561.55,0.51,4.77,0.46,1.51,0.96,0.09,stroma,False,True
27,416,14645.7,38107.71,0.19,0.04,0.16,0.02,0.0,0.0,stroma,False,True
28,417,14435.77,38323.62,0.38,0.06,0.25,0.07,0.0,0.0,stroma,False,True
29,418,14465.7,38590.28,0.0,2.62,0.0,0.24,0.39,0.0,tumor,False,True
