,cell.ID,nucleus.x,nucleus.y,CD4.score.normalized,CK.score.normalized,CD3.score.normalized,CD56.score.normalized,CD8.score.normalized,FOXP3.score.normalized,tissue.type
0,2,12929.67,39271.46,0.0,0.21,1.91,0.15,0.41,0.0,stroma
1,3,12922.58,39337.42,0.4,0.0,0.0,0.09,0.27,0.0,stroma
2,5,12915.84,39369.55,0.36,0.02,0.27,0.0,0.0,0.19,stroma
3,8,12682.1,39449.57,0.73,0.13,0.0,0.17,0.0,0.46,stroma
4,12,12903.6,39337.45,0.36,0.08,0.32,0.07,0.62,0.0,stroma
5,14,12865.49,39269.35,0.29,0.0,0.16,0.0,0.0,0.0,stroma
6,16,12922.59,39331.19,0.15,0.06,0.09,0.0,0.0,0.0,stroma
7,18,12656.62,39451.25,0.37,0.09,0.14,0.07,0.0,0.0,stroma
8,23,12920.18,39280.67,0.34,0.0,0.0,0.18,0.0,0.19,stroma
9,25,12938.17,39370.41,0.29,0.07,0.9,0.17,1.3,0.0,stroma
10,31,12909.96,39300.05,0.0,0.0,0.03,0.24,0.0,0.0,stroma
11,32,12880.31,39280.95,0.15,0.06,0.4,0.09,0.54,0.08,stroma
12,34,12915.95,39337.16,0.51,0.0,0.0,0.42,0.45,0.0,stroma
13,36,12556.67,39499.36,4.56,0.44,0.51,0.2,0.46,0.51,stroma
14,37,12781.47,39568.56,1.96,0.24,0.0,0.34,0.0,0.16,stroma
15,38,12856.85,39475.4,2.48,0.22,0.49,0.2,0.97,0.07,stroma
16,39,12472.42,39556.22,1.26,0.48,0.16,0.0,0.32,0.67,stroma
17,40,12680.64,39649.93,0.0,0.95,0.34,0.19,0.2,0.3,tumor
18,41,12471.14,39673.86,1.19,3.44,0.0,0.63,0.24,0.96,tumor
19,42,12537.36,39716.79,0.12,1.51,0.0,1.3,0.0,0.84,tumor
20,44,12388.39,39848.51,0.0,3.94,0.0,1.09,0.0,0.0,tumor
21,45,12518.9,39738.59,0.01,1.42,0.0,0.54,0.0,0.0,tumor
22,46,12633.79,39925.43,0.6,0.75,0.0,0.1,0.09,0.19,tumor
23,47,12633.73,39966.22,0.0,3.79,0.35,0.3,0.08,0.28,tumor
24,48,12628.58,39822.08,0.2,2.5,0.27,1.46,0.4,0.14,tumor
25,49,12610.72,39532.25,3.69,0.73,1.31,0.01,0.0,0.0,tumor
26,50,12806.16,39773.36,0.0,1.34,0.15,0.27,0.0,0.69,tumor
27,51,12654.55,39489.22,0.96,0.73,0.0,0.0,0.0,0.82,stroma
28,52,12387.88,39661.3,0.8,2.06,0.21,0.05,0.09,0.2,tumor
29,53,12361.46,39731.68,0.2,0.99,0.58,0.03,2.23,0.0,stroma
30,54,12701.37,39553.7,0.0,1.55,0.06,0.19,0.0,0.0,tumor
31,55,12825.02,39820.57,0.0,0.51,0.23,0.0,0.0,0.18,stroma
32,56,12833.49,39980.71,0.54,0.76,0.63,0.13,0.02,0.0,stroma
33,57,12804.72,39970.74,0.77,0.42,0.42,0.0,0.0,0.48,stroma
34,58,12432.98,39801.81,0.32,2.45,0.29,0.19,0.0,0.0,tumor
35,59,12633.48,39875.33,0.2,1.42,0.0,0.91,0.63,0.46,tumor
36,60,12438.82,39855.89,0.0,2.31,0.0,0.25,0.16,0.0,tumor
37,61,12505.28,39544.57,1.5,0.97,0.82,0.0,0.33,0.81,stroma
38,62,12775.39,39516.47,0.09,5.16,0.18,0.28,0.12,0.0,stroma
39,63,12481.11,39888.0,0.13,0.39,0.27,0.09,0.06,0.0,tumor
40,64,12808.84,40001.47,0.27,1.68,0.27,0.16,0.22,0.17,tumor
41,65,12822.13,39750.1,0.17,1.47,0.0,0.43,0.68,0.25,tumor
42,66,12377.67,39800.63,0.6,0.48,0.0,0.69,0.0,0.85,stroma
43,68,12762.67,39602.24,0.42,1.53,0.29,0.18,0.68,0.0,tumor
44,69,12510.09,39659.37,1.84,5.21,0.56,0.62,0.44,0.85,tumor
45,70,12694.84,40041.15,0.37,0.39,0.31,0.0,0.05,0.3,stroma
