,cell.ID,nucleus.x,nucleus.y,CD15.score.normalized,CK.score.normalized,CD3.score.normalized,CD11c.score.normalized,CD20.score.normalized,CD163.score.normalized,tissue.type
0,15,10846.78,33017.85,0.18,3.0,0.0,0.46,0.06,0.26,tumor
1,16,10904.76,33255.96,0.11,3.38,0.56,0.0,0.28,0.28,tumor
2,17,10897.45,33266.64,0.39,1.04,0.09,0.0,0.0,0.17,tumor
3,18,10859.51,33019.93,0.4,0.46,0.11,0.0,0.0,0.07,stroma
4,19,10896.78,33256.03,0.35,1.17,0.09,0.8,0.2,0.07,tumor
5,20,10886.82,33063.58,0.11,0.73,0.25,0.57,0.0,0.09,stroma
6,21,10874.64,33271.15,0.18,0.2,0.4,0.58,0.5,0.0,stroma
7,22,10875.48,32994.3,0.26,0.27,0.26,0.0,0.12,0.04,stroma
8,23,10876.85,33002.62,0.32,0.74,0.41,0.49,0.07,0.22,stroma
9,24,10893.67,33048.84,0.57,0.16,0.01,0.08,0.35,0.01,stroma
10,25,10889.2,33271.05,0.06,1.77,0.0,0.0,0.01,0.42,tumor
11,26,10880.1,33042.43,0.02,0.53,0.2,0.0,0.0,0.12,stroma
12,27,10883.63,32956.55,0.15,0.24,0.4,0.34,0.0,0.09,stroma
13,28,10869.38,32962.38,0.14,0.67,0.37,0.28,0.0,0.51,stroma
14,29,10898.87,33251.19,0.25,1.43,0.31,0.66,0.0,0.13,tumor
15,30,10882.06,33004.35,0.33,0.4,0.7,0.33,0.0,0.21,stroma
16,50,11486.72,32078.76,0.39,0.93,0.0,0.58,0.82,0.34,stroma
17,51,11364.85,31576.9,0.35,0.71,0.22,0.0,0.0,0.0,stroma
18,53,11495.88,32047.72,0.0,0.11,0.11,0.0,0.0,0.17,stroma
19,60,11465.76,32076.7,0.24,0.06,0.69,0.0,0.0,0.1,stroma
20,63,11364.75,31582.12,0.38,1.6,0.45,0.0,0.14,0.08,tumor
21,65,11496.35,31486.24,0.0,0.46,0.0,0.35,0.0,0.08,stroma
22,72,11290.22,32363.42,0.17,1.39,1.02,0.48,0.27,1.26,tumor
23,73,11288.23,32342.86,0.43,3.89,0.35,0.33,0.55,0.75,tumor
24,74,11304.98,32545.8,0.05,0.49,0.0,0.04,0.02,0.34,stroma
25,75,11395.92,32567.53,0.1,0.1,0.67,0.72,0.0,0.0,stroma
26,76,11503.85,32114.71,0.37,0.71,0.26,0.83,0.38,4.49,stroma
27,77,11315.0,32233.76,0.19,0.05,0.48,0.0,0.05,0.0,stroma
28,78,11285.49,32520.07,0.0,1.0,0.0,0.37,0.2,0.18,tumor
29,79,11344.02,32319.37,0.12,0.37,1.38,0.01,0.62,0.17,stroma
30,80,11330.38,32317.0,0.07,0.25,3.11,0.69,0.43,0.19,stroma
31,81,11417.16,32146.87,0.31,2.13,1.96,0.0,2.72,2.25,tumor
32,82,11340.08,32661.61,0.0,0.08,0.16,0.19,0.49,0.02,stroma
33,83,11422.93,32236.89,0.06,0.38,0.82,0.28,0.44,0.62,stroma
34,84,11432.85,32628.04,0.03,0.6,1.06,0.49,0.38,0.1,stroma
35,85,11444.51,32587.63,0.46,1.42,1.03,0.57,2.04,2.56,tumor
36,86,11429.49,32153.99,0.3,2.07,2.97,0.4,0.26,3.1,tumor
37,87,11377.01,32299.47,0.15,0.59,1.69,0.05,0.53,0.15,stroma
38,88,11335.56,32391.17,0.07,0.67,0.83,0.0,1.32,0.25,stroma
39,89,11373.1,32398.32,0.25,0.54,0.36,0.01,2.65,1.75,stroma
40,90,11428.66,32219.29,0.3,1.04,1.25,0.31,3.14,1.9,tumor
41,91,11335.46,32398.46,0.23,0.69,1.92,0.13,0.66,0.55,stroma
42,92,11333.66,32316.24,0.35,0.25,1.76,0.35,2.85,0.18,stroma
43,93,11358.35,32360.32,0.0,0.07,0.0,0.0,0.17,0.08,stroma
44,94,11303.13,32464.38,0.56,4.28,1.83,0.9,0.4,2.02,tumor
45,95,11472.27,32316.93,0.57,2.03,1.62,3.72,1.06,2.19,tumor
46,96,11489.07,32628.73,0.2,1.23,0.72,0.97,0.49,0.68,tumor
47,97,11386.38,32408.78,0.04,0.6,2.24,0.0,0.0,1.5,stroma
48,98,11425.94,32240.89,0.16,0.98,1.57,0.57,0.0,2.72,tumor
49,99,11265.9,32317.39,0.0,0.43,0.22,0.0,0.13,0.0,tumor
50,100,11389.92,32665.02,0.31,0.29,2.59,0.67,0.19,0.08,stroma
51,101,11427.1,32441.37,0.06,1.09,0.57,0.0,0.2,1.74,stroma
52,102,11466.8,32314.86,0.23,2.03,0.68,1.88,0.56,0.43,tumor
53,103,11211.64,32530.98,0.0,0.02,0.16,0.0,0.08,0.0,stroma
54,104,11477.44,32189.45,0.78,3.51,1.47,1.81,1.41,2.36,tumor
55,105,11480.25,32097.09,0.37,1.09,0.85,0.73,0.0,3.33,stroma
56,106,11467.82,32509.56,0.35,1.55,0.7,1.55,0.04,2.09,stroma
57,107,11324.49,32318.92,0.0,0.7,4.41,0.65,0.51,0.32,stroma
58,108,11275.57,32438.48,0.26,0.89,0.0,0.0,0.0,1.0,stroma
59,109,11278.5,32296.67,0.44,4.08,1.38,1.01,0.65,1.33,tumor
60,110,11293.0,32269.42,0.26,1.38,0.0,0.0,0.74,0.62,tumor
61,111,11376.1,32431.94,0.22,0.57,2.18,0.0,0.23,1.09,stroma
62,112,11434.46,32582.52,0.14,0.77,2.42,0.4,0.13,1.37,stroma
63,113,11238.88,32510.29,0.0,0.09,0.17,0.43,0.0,0.0,stroma
64,114,11364.53,32568.23,0.06,0.08,0.0,0.0,0.0,0.19,stroma
65,115,11332.57,32497.02,0.09,1.47,0.0,0.0,0.22,0.23,tumor
66,116,11443.97,32571.05,0.11,0.85,2.36,1.07,0.42,1.32,stroma
67,117,11367.55,32214.82,0.0,0.08,0.0,0.35,0.0,0.06,stroma
68,118,11249.96,32377.97,0.05,1.72,0.8,0.15,2.31,0.22,tumor
69,119,11280.03,32349.44,0.39,2.02,1.45,0.16,0.4,1.96,tumor
70,120,11496.67,32361.15,0.0,0.04,0.0,0.06,0.0,0.1,stroma
71,121,11434.79,32431.63,0.13,0.71,1.08,0.0,1.2,1.17,stroma
72,122,11297.85,32333.63,0.0,0.98,0.1,0.0,0.4,1.17,stroma
73,123,11399.42,32420.36,0.37,1.21,0.17,0.58,0.04,2.78,stroma
74,124,11236.39,32561.64,0.0,0.05,0.2,0.0,0.0,0.0,stroma
75,125,11330.2,32437.85,0.42,1.61,3.38,0.06,1.82,1.99,tumor
76,126,11373.87,32586.44,0.2,0.11,1.17,0.0,0.03,0.08,stroma
77,127,11318.45,32267.16,0.01,0.08,0.99,0.0,0.17,0.16,stroma
78,128,11478.99,32509.36,0.09,0.6,1.55,1.95,2.04,1.07,stroma
79,129,11412.09,32195.98,0.35,0.32,2.0,0.67,1.02,0.25,stroma
80,130,11319.26,32559.35,4.09,1.3,0.05,0.34,0.0,2.0,stroma
81,131,11430.12,32489.45,0.65,1.03,0.0,1.15,0.0,2.24,stroma
82,132,11242.74,32391.48,0.09,0.07,0.65,0.33,2.71,0.38,stroma
83,133,11463.01,32607.57,0.27,1.14,0.79,0.62,0.99,1.08,tumor
84,134,11354.64,32658.84,0.13,0.04,0.47,0.0,0.5,0.04,stroma
85,135,11261.73,32245.39,0.05,0.26,0.04,1.04,0.04,0.11,stroma
86,136,11475.08,32518.18,0.48,1.02,1.22,2.61,0.75,1.52,stroma
87,137,11373.1,32234.49,0.0,0.0,0.17,0.0,0.02,0.09,stroma
88,138,11378.45,32393.59,0.0,0.52,2.75,0.42,0.36,0.21,stroma
89,139,11360.31,32291.47,0.0,0.01,0.03,1.02,0.08,0.16,stroma
90,140,11334.82,32563.49,0.06,0.35,1.06,0.42,0.32,0.07,stroma
91,141,11417.23,32609.01,0.48,1.94,0.76,0.24,0.41,2.1,tumor
92,142,11231.68,32403.95,0.02,0.17,0.28,0.0,3.19,0.27,stroma
93,143,11286.91,32406.73,0.38,4.56,3.1,0.43,0.61,2.2,tumor
94,144,11435.87,32637.9,0.27,0.5,1.76,0.39,0.13,0.0,stroma
95,145,11350.55,32315.74,0.14,0.29,0.89,0.28,2.77,0.15,stroma
96,146,11391.9,32339.21,0.23,0.9,1.48,0.34,1.99,2.15,stroma
97,147,11268.33,32373.99,0.27,3.25,1.38,0.11,1.25,1.5,tumor
98,148,11350.56,32355.23,0.14,0.49,1.68,0.0,0.0,0.18,stroma
99,149,11473.98,32636.42,0.03,0.21,0.54,0.0,0.0,0.07,stroma
100,150,11304.15,32313.62,0.18,1.36,0.0,0.0,0.58,0.91,tumor
101,151,11438.73,32264.02,0.0,0.63,0.14,0.0,0.37,1.75,stroma
102,152,11325.77,32475.21,0.13,1.71,2.57,0.3,0.42,0.69,tumor
103,153,11331.94,32358.0,0.19,0.84,0.45,0.0,0.18,0.11,stroma
104,154,11241.32,32456.81,0.0,0.01,0.08,0.48,0.0,0.23,stroma
105,155,11446.76,32539.74,0.19,0.77,0.91,1.32,1.89,1.15,stroma
106,156,11275.05,32458.32,0.29,3.46,0.17,0.0,0.0,0.97,tumor
107,157,11442.51,32390.39,0.0,0.81,0.0,0.73,0.47,1.55,stroma
108,158,11278.61,32445.63,0.26,1.28,0.03,0.0,0.27,0.74,tumor
109,159,11362.09,32503.44,0.0,0.34,0.01,0.0,0.0,0.0,stroma
110,160,11271.98,32550.54,0.33,1.0,0.66,0.85,0.11,0.11,stroma
111,161,11439.49,32659.39,0.12,0.79,2.79,0.17,0.0,0.12,stroma
112,162,11284.13,32386.79,0.37,3.35,1.15,0.61,3.22,3.43,tumor
113,163,11460.49,32133.03,0.38,1.77,0.98,0.0,0.17,2.08,tumor
114,164,11456.33,32470.27,0.15,1.35,0.1,2.22,0.21,0.52,tumor
115,165,11351.76,32338.79,0.0,0.1,0.26,0.0,2.82,0.17,stroma
116,166,11353.68,32308.9,0.11,0.36,2.56,0.47,0.19,0.2,stroma
117,167,11381.56,32418.9,0.0,0.07,0.13,0.55,0.0,0.27,stroma
118,168,11469.26,32627.29,0.23,1.57,1.23,0.7,0.31,0.26,tumor
119,169,11413.86,32222.45,0.18,0.09,0.0,0.0,0.42,0.08,stroma
120,170,11395.38,32605.5,0.04,0.17,0.66,0.0,0.1,0.23,stroma
121,171,11285.9,32515.22,0.19,2.2,0.1,0.0,0.0,0.43,tumor
122,172,11496.55,32659.59,0.23,1.92,0.29,0.08,0.0,0.51,tumor
123,173,11241.17,32400.08,0.1,0.16,0.0,0.51,2.03,0.68,stroma
124,174,11463.15,32330.36,0.23,1.6,2.27,0.2,0.17,1.28,tumor
125,175,11458.29,32479.95,0.17,0.99,2.71,1.17,0.24,1.22,stroma
126,176,11441.65,32167.95,0.35,1.28,1.15,0.73,2.93,1.82,tumor
127,177,11239.38,32492.28,0.0,0.1,0.0,0.34,0.06,0.16,stroma
128,178,11439.14,32439.3,0.0,0.56,0.77,0.03,0.0,0.19,stroma
129,179,11291.12,32394.08,0.16,3.47,1.72,0.17,2.77,2.38,tumor
130,180,11441.94,32510.07,0.43,0.88,1.71,0.37,1.62,0.65,stroma
131,181,11484.66,32333.5,0.57,0.6,0.19,0.17,1.42,2.7,stroma
132,182,11475.48,32484.34,0.37,0.76,1.94,0.33,0.16,0.28,stroma
133,183,11268.57,32258.63,0.07,0.09,0.09,0.0,0.34,0.03,stroma
134,184,11324.81,32511.09,0.04,0.47,0.13,0.0,0.05,0.12,stroma
135,185,11466.16,32320.83,0.27,1.13,2.3,0.5,0.09,1.8,tumor
136,186,11420.69,32635.15,0.0,0.49,2.97,0.0,0.39,0.0,stroma
137,187,11191.94,32418.74,0.0,0.09,0.0,0.0,0.0,0.08,stroma
138,188,11443.26,32555.43,0.39,0.91,1.09,1.09,1.7,1.67,stroma
139,189,11500.21,32484.02,0.0,0.52,1.5,0.85,2.0,0.13,stroma
140,191,11456.19,32414.81,0.31,0.24,2.1,0.0,0.63,0.71,stroma
141,192,11460.91,32536.43,0.21,1.46,0.7,3.4,1.11,2.38,stroma
142,193,11474.47,32240.2,0.11,0.28,0.13,0.21,0.0,0.27,stroma
143,194,11498.42,32180.26,0.36,2.27,0.2,0.0,0.08,1.3,tumor
144,195,11439.92,32502.11,0.35,0.83,1.57,0.73,1.51,0.93,stroma
145,196,11431.36,32171.48,0.71,1.2,1.08,0.67,2.84,3.8,tumor
146,197,11447.59,32211.93,0.37,1.5,2.38,0.26,2.38,1.65,tumor
147,198,11427.77,32559.71,0.0,0.51,0.26,0.4,3.1,0.15,stroma
148,199,11386.13,32660.67,0.09,1.35,1.68,0.93,0.0,1.88,tumor
149,200,11452.34,32175.99,0.36,3.05,3.68,0.05,2.17,4.19,tumor
150,201,11420.39,32182.85,0.08,0.47,0.09,0.98,0.07,0.81,stroma
151,202,11411.72,32417.71,0.36,0.32,0.18,0.0,0.0,1.24,stroma
152,203,11454.41,32355.0,0.1,0.9,0.91,0.31,0.62,1.16,stroma
153,204,11378.33,32235.88,0.0,0.04,0.16,0.0,0.04,0.05,stroma
154,205,11226.82,32509.32,0.34,0.06,0.13,0.0,0.08,0.03,stroma
155,206,11333.43,32326.45,0.0,0.55,0.31,0.02,1.58,0.06,stroma
156,207,11369.74,32493.18,0.0,0.3,0.08,1.12,0.0,0.04,stroma
157,208,11293.33,32550.87,0.24,1.19,0.0,0.19,0.0,0.64,tumor
158,209,11422.83,32457.15,0.0,0.45,0.07,0.19,0.1,0.24,stroma
159,210,11395.59,32429.33,0.04,0.56,0.49,0.07,1.83,1.0,stroma
160,211,11464.9,32582.7,0.32,0.99,0.48,2.18,1.15,0.98,stroma
161,212,11439.61,32452.61,0.23,0.19,0.75,0.58,2.01,0.18,stroma
162,213,11392.3,32321.7,0.04,0.63,0.94,0.1,1.54,1.03,stroma
163,214,11449.91,32289.57,0.23,0.29,0.0,0.35,0.28,0.73,stroma
164,215,11455.52,32169.17,0.49,3.88,1.44,0.63,1.47,4.57,tumor
165,216,11348.05,32562.71,0.11,0.47,0.51,2.13,0.0,0.18,stroma
166,217,11287.83,32285.2,0.02,2.47,0.77,0.1,0.0,1.09,tumor
167,218,11480.05,32470.88,0.0,0.83,0.11,1.03,1.94,1.08,stroma
168,219,11310.98,32209.32,0.16,0.06,0.0,0.0,0.0,0.11,stroma
169,222,11446.25,32125.8,0.45,1.0,1.44,0.26,0.0,1.45,tumor
170,223,11394.31,32225.36,0.25,0.02,0.35,0.0,0.0,0.06,stroma
171,224,11245.48,32432.21,0.07,0.05,0.21,0.0,0.15,0.08,stroma
172,225,11323.44,32426.1,0.59,2.02,3.84,1.4,2.26,1.44,tumor
173,226,11459.2,32235.64,0.47,0.54,0.19,0.44,1.41,1.83,stroma
174,227,11442.65,32497.0,0.4,0.54,0.1,0.77,2.28,0.92,stroma
175,228,11302.05,32413.92,0.68,3.2,2.36,1.57,1.94,2.01,tumor
176,229,11365.05,32509.25,0.1,0.58,0.19,0.56,0.0,0.1,stroma
177,230,11435.63,32370.71,0.57,0.8,1.06,0.0,1.34,1.5,stroma
178,231,11363.25,32490.41,0.09,0.66,0.2,1.0,0.0,0.45,stroma
179,232,11379.27,32640.68,0.0,0.09,0.22,0.0,0.14,0.01,stroma
