,cell.ID,nucleus.x,nucleus.y,PD1.score.normalized,CK.score.normalized,Ki67.score.normalized,GB.score.normalized,CD8.score.normalized,PDL1.score.normalized,tissue.type
0,1,12872.63,34094.8,1.98,8.33,2.56,5.76,17.18,3.61,tumor
1,2,12857.38,34119.02,1.36,2.06,2.74,0.9,6.58,3.03,tumor
2,4,12840.5,34082.26,1.94,6.37,1.69,2.11,1.92,3.61,tumor
3,5,12868.41,34049.57,0.68,0.31,1.32,0.38,2.06,1.64,tumor
4,6,12870.78,34070.4,1.17,3.08,0.98,1.45,2.58,3.56,tumor
5,12,12883.31,34060.38,0.96,1.1,1.04,2.95,1.13,2.47,tumor
6,17,12884.22,34109.1,1.37,2.9,0.81,3.31,11.26,3.4,tumor
7,18,12859.54,34076.3,1.92,3.18,1.23,2.07,9.17,3.24,tumor
8,20,12900.54,34099.91,0.44,0.37,0.41,1.3,13.6,1.53,tumor
9,21,12893.68,34089.61,1.0,1.47,0.69,0.0,1.37,2.35,tumor
10,22,12872.88,34047.64,0.8,1.44,0.61,0.61,5.43,2.5,tumor
11,23,12859.54,34084.38,1.59,5.22,0.65,1.51,1.97,3.9,tumor
12,24,12900.85,34069.58,1.27,0.57,0.38,0.56,0.97,1.07,tumor
13,25,12889.84,34096.59,1.93,2.5,2.36,3.17,10.8,3.61,tumor
14,26,12829.11,34093.5,1.43,2.49,2.28,2.57,1.56,3.3,tumor
15,28,12853.43,34083.84,2.07,10.94,8.51,2.4,14.21,2.91,tumor
16,29,12849.65,34069.52,1.42,0.81,1.72,1.27,2.9,1.99,tumor
17,30,12837.87,34102.86,1.68,5.6,4.21,1.51,5.0,3.32,tumor
18,31,12888.65,34069.04,0.82,1.97,1.63,0.0,1.24,2.97,tumor
19,32,12884.86,34063.29,1.19,4.16,0.83,0.37,1.71,2.87,tumor
20,33,12854.81,34107.27,2.05,5.03,1.48,2.73,6.63,3.14,tumor
21,35,12876.25,34076.01,1.06,1.84,3.62,1.28,1.33,3.01,tumor
22,36,12854.0,34059.35,1.1,1.82,2.45,2.78,1.06,3.12,tumor
23,39,12840.03,34112.26,1.01,1.68,0.92,0.83,6.33,2.49,tumor
24,40,13099.32,34712.74,0.09,0.14,0.22,0.31,0.0,0.0,stroma
25,42,12752.48,34262.9,0.04,0.0,0.0,0.12,0.0,0.07,stroma
26,43,12779.26,34250.05,0.42,2.36,0.46,0.0,0.35,0.69,tumor
27,44,13131.29,34343.0,0.21,0.33,0.2,1.13,0.14,0.38,tumor
28,45,12663.67,34683.9,1.47,1.69,0.63,1.53,2.27,2.66,stroma
29,46,12706.33,34665.31,0.58,2.53,0.18,1.02,1.55,0.94,tumor
30,47,13100.14,34375.54,0.08,0.12,0.0,0.0,0.23,0.32,tumor
31,48,13095.03,34632.1,0.0,0.03,0.84,0.0,0.0,0.0,stroma
32,49,12754.65,34239.93,0.18,0.69,0.0,0.51,0.47,0.39,stroma
33,50,12793.06,34256.02,0.24,0.44,0.29,0.0,0.0,0.49,stroma
34,53,12853.41,34580.89,0.09,0.06,0.1,0.0,0.25,0.27,stroma
35,54,12860.9,34597.27,0.0,0.15,0.5,0.0,0.0,0.0,stroma
36,56,12624.47,34691.24,0.78,0.2,0.64,0.0,6.27,0.86,stroma
37,58,12730.12,34713.36,0.03,0.05,0.0,0.33,0.37,0.09,stroma
38,60,13129.97,34581.13,0.0,0.0,0.0,0.0,0.0,0.32,stroma
39,61,12786.97,34725.74,0.06,0.01,0.8,0.26,0.0,0.22,stroma
40,63,12806.86,34282.46,0.0,0.06,0.19,0.42,0.41,0.48,stroma
41,64,12614.88,34676.82,0.84,0.51,0.03,0.0,1.48,0.86,stroma
42,65,12716.76,34688.49,0.59,0.99,0.28,1.04,2.28,1.26,stroma
43,66,12791.55,34649.05,0.05,0.1,0.0,0.0,0.33,0.13,stroma
44,67,12701.78,34675.95,0.9,2.06,0.58,1.73,0.73,1.62,tumor
45,68,12704.15,34657.2,0.0,0.1,0.0,0.0,0.0,0.05,stroma
46,69,12779.25,34256.62,0.42,2.28,0.22,0.0,0.28,0.6,tumor
47,70,12897.1,34583.11,0.04,0.1,0.03,0.84,0.11,0.56,stroma
48,74,13086.28,34688.77,0.21,0.06,0.0,1.14,0.17,0.05,stroma
49,75,12748.75,34667.3,0.06,0.13,0.32,0.57,0.03,0.15,stroma
50,76,12835.76,34131.12,1.53,2.61,0.18,0.64,7.79,3.82,tumor
51,77,13147.04,34353.99,0.07,0.03,0.32,0.5,0.49,0.0,tumor
52,78,12764.06,34241.66,0.28,2.01,0.78,0.0,0.24,0.49,tumor
53,79,12738.91,34260.39,0.05,0.06,0.95,0.22,0.18,0.0,stroma
54,80,12626.08,34697.54,0.06,0.06,0.0,0.0,0.01,0.02,stroma
55,82,12655.93,34659.96,0.06,0.25,0.12,0.0,0.23,0.06,stroma
56,87,13104.33,34604.77,0.02,0.13,0.0,0.92,0.0,0.06,stroma
57,88,12762.65,34668.55,0.7,0.92,2.05,0.99,0.87,1.53,stroma
58,89,12716.95,34708.61,0.0,0.03,0.04,0.0,0.12,0.27,stroma
59,90,12610.4,34640.24,0.04,0.0,0.11,0.24,0.0,0.02,stroma
60,91,12782.77,34706.81,0.11,0.32,0.37,0.0,2.23,0.24,stroma
61,92,12892.56,34571.01,0.07,0.17,0.17,0.0,0.54,0.0,stroma
62,93,12646.96,34664.31,0.0,0.04,0.88,0.84,0.19,0.18,stroma
63,94,13091.29,34663.75,0.31,0.07,0.11,0.04,0.51,0.38,stroma
64,95,12781.05,34697.05,0.31,1.04,0.1,0.0,0.66,0.44,tumor
65,96,13128.65,34311.94,0.08,0.03,0.0,0.45,0.25,0.08,tumor
66,97,12750.78,34684.35,0.87,3.33,1.29,0.71,0.85,1.87,tumor
67,98,12824.19,34633.76,0.14,0.27,0.0,0.59,0.06,0.0,stroma
68,100,12852.38,34565.18,0.0,0.0,0.5,0.05,0.0,0.27,stroma
69,101,12683.39,34686.49,0.46,0.68,0.79,0.15,1.66,0.64,stroma
70,103,12908.91,34579.69,0.1,0.41,0.0,0.0,0.15,0.02,stroma
71,104,12769.26,34688.72,0.47,3.72,0.71,0.51,1.4,1.56,tumor
72,105,12768.69,34675.93,0.55,3.24,0.51,1.56,4.01,0.99,tumor
73,108,12671.99,34687.9,0.2,0.46,0.0,1.6,1.76,0.64,stroma
74,109,12662.84,34698.72,0.23,0.4,0.34,0.98,0.29,0.77,stroma
75,110,12716.12,34684.39,0.37,1.73,0.0,2.41,1.71,0.84,tumor
76,113,13078.72,34660.7,0.0,0.17,0.03,0.68,0.07,0.01,stroma
77,114,12844.23,34567.44,0.1,0.03,0.0,0.42,0.04,0.3,stroma
78,115,12856.78,34143.69,0.06,0.14,0.04,0.0,0.24,0.33,tumor
79,116,12876.52,34604.52,0.0,0.1,0.45,1.15,0.0,0.06,stroma
80,118,13145.25,34476.87,2.02,2.41,0.91,1.62,1.9,3.81,tumor
81,119,13093.47,34649.52,0.02,0.03,0.0,0.02,0.3,0.0,stroma
82,120,12866.05,34606.21,0.02,0.27,0.0,0.52,0.02,0.0,stroma
83,121,13116.99,34598.76,0.0,0.04,0.52,0.11,0.04,0.0,stroma
84,122,13145.92,34567.69,0.46,0.13,0.55,0.4,0.26,1.28,stroma
85,123,12857.86,34596.37,0.03,0.14,0.06,0.72,0.29,0.0,stroma
86,124,12657.12,34695.82,0.28,0.87,0.0,0.0,0.2,0.38,stroma
87,125,12841.63,34629.86,0.1,0.09,0.43,0.21,0.0,0.0,stroma
88,126,12877.02,34570.21,0.0,0.05,0.85,0.11,0.0,0.16,stroma
89,127,12920.44,34583.7,0.27,0.84,0.09,0.19,0.12,0.2,stroma
90,128,12893.46,34574.97,0.03,0.32,0.0,0.0,0.0,0.35,stroma
91,129,12764.31,34696.1,0.31,1.27,0.9,0.1,1.65,0.98,tumor
92,131,12790.8,34670.66,0.85,1.68,0.36,0.99,3.01,1.01,tumor
93,132,12882.43,34572.68,0.1,0.13,0.05,0.3,0.0,0.34,stroma
94,133,13110.47,34618.73,0.01,0.04,0.0,0.49,0.35,0.34,stroma
95,134,12635.11,34676.56,1.2,1.66,0.0,1.6,1.14,2.04,stroma
96,135,12703.75,34695.12,0.41,0.34,0.24,4.14,8.35,0.78,stroma
97,136,12768.78,34236.58,0.26,0.45,0.0,0.25,0.0,0.13,stroma
98,137,12682.35,34681.4,0.61,0.73,0.8,0.35,0.7,0.75,stroma
99,138,13017.6,35122.17,0.17,0.11,0.0,0.0,0.28,0.41,stroma
100,140,12969.71,34967.73,0.02,0.09,0.47,0.23,0.03,0.0,stroma
101,141,12649.72,35034.5,0.17,0.47,0.0,0.45,0.47,0.2,stroma
102,143,13075.54,34979.86,0.32,0.52,0.14,0.0,0.6,0.68,stroma
103,144,12864.42,34879.56,0.22,0.22,0.18,0.79,2.49,0.55,stroma
104,145,12812.49,34756.8,0.12,0.2,0.06,0.1,0.67,0.34,stroma
105,146,12964.14,35041.87,0.0,0.0,0.0,0.0,0.0,0.29,stroma
106,147,13001.94,35143.15,0.06,0.01,0.0,0.0,0.23,0.0,stroma
107,148,12699.85,34995.72,0.18,0.55,0.61,1.22,0.04,0.42,stroma
108,149,12876.32,34867.63,0.14,0.19,0.54,0.0,0.53,0.34,stroma
109,150,13080.16,34993.3,0.53,1.22,0.76,0.0,1.39,2.63,tumor
110,152,12975.4,34916.41,0.02,0.03,0.0,0.32,0.14,0.04,stroma
111,154,13012.24,34968.66,0.04,0.13,0.15,0.08,0.38,0.12,stroma
